memory_size,lsg_latency_ms,baseline_latency_ms,speedup_x
10,0.0099,0.1398,14.1
50,0.0099,0.1654,16.7
100,0.0099,0.1782,18.0
200,0.0099,0.2055,20.7
500,0.0099,0.2854,28.8
1000,0.0099,0.4217,42.6
