dim,abs_coef,rank
238,2.0288,1
301,1.7106,2
330,1.5445,3
84,1.4946,4
62,1.4897,5
137,1.4362,6
80,1.3642,7
14,1.3532,8
144,1.344,9
17,1.3404,10
351,1.291,11
294,1.2782,12
124,1.2694,13
163,1.2479,14
219,1.2399,15
48,1.2269,16
382,1.2013,17
373,1.189,18
18,1.1865,19
1,1.171,20
