model,threshold,precision,recall,f1
LSG,0.632,0.584,0.7193,0.6446
LSG,0.632,0.5836,0.7183,0.644
LSG,0.632,0.5833,0.7173,0.6434
LSG,0.632,0.5838,0.7173,0.6437
LSG,0.633,0.5843,0.7173,0.644
LSG,0.633,0.5847,0.7173,0.6443
LSG,0.633,0.5844,0.7162,0.6436
LSG,0.633,0.5849,0.7162,0.6439
LSG,0.633,0.5854,0.7162,0.6442
LSG,0.634,0.5859,0.7162,0.6445
LSG,0.635,0.5864,0.7162,0.6448
LSG,0.635,0.5869,0.7162,0.6451
LSG,0.636,0.5874,0.7162,0.6454
LSG,0.636,0.587,0.7152,0.6448
LSG,0.636,0.5867,0.7141,0.6442
LSG,0.636,0.5872,0.7141,0.6445
LSG,0.638,0.5877,0.7141,0.6448
LSG,0.639,0.5873,0.7131,0.6441
LSG,0.64,0.5878,0.7131,0.6444
LSG,0.64,0.5883,0.7131,0.6447
LSG,0.64,0.588,0.7121,0.6441
LSG,0.641,0.5876,0.711,0.6435
LSG,0.641,0.5873,0.71,0.6428
LSG,0.641,0.5869,0.7089,0.6422
LSG,0.641,0.5874,0.7089,0.6425
LSG,0.642,0.5879,0.7089,0.6428
LSG,0.642,0.5884,0.7089,0.6431
LSG,0.642,0.5881,0.7079,0.6425
LSG,0.642,0.5877,0.7069,0.6418
LSG,0.643,0.5882,0.7069,0.6421
LSG,0.644,0.5887,0.7069,0.6424
LSG,0.644,0.5893,0.7069,0.6427
LSG,0.644,0.5889,0.7058,0.6421
LSG,0.644,0.5894,0.7058,0.6424
LSG,0.645,0.5899,0.7058,0.6427
LSG,0.646,0.5896,0.7048,0.642
LSG,0.646,0.5901,0.7048,0.6423
LSG,0.646,0.5906,0.7048,0.6427
LSG,0.646,0.5902,0.7037,0.642
LSG,0.647,0.5908,0.7037,0.6423
LSG,0.647,0.5904,0.7027,0.6417
LSG,0.647,0.59,0.7017,0.641
LSG,0.648,0.5897,0.7006,0.6404
LSG,0.648,0.5893,0.6996,0.6397
LSG,0.648,0.5898,0.6996,0.64
LSG,0.648,0.5895,0.6985,0.6394
LSG,0.649,0.59,0.6985,0.6397
LSG,0.649,0.5896,0.6975,0.639
LSG,0.65,0.5901,0.6975,0.6394
LSG,0.65,0.5898,0.6965,0.6387
LSG,0.651,0.5894,0.6954,0.6381
LSG,0.651,0.5891,0.6944,0.6374
LSG,0.651,0.5896,0.6944,0.6377
LSG,0.651,0.5901,0.6944,0.638
LSG,0.651,0.5897,0.6933,0.6374
LSG,0.651,0.5894,0.6923,0.6367
LSG,0.651,0.5899,0.6923,0.637
LSG,0.651,0.5904,0.6923,0.6373
LSG,0.653,0.5909,0.6923,0.6376
LSG,0.653,0.5915,0.6923,0.6379
LSG,0.654,0.592,0.6923,0.6382
LSG,0.654,0.5916,0.6913,0.6376
LSG,0.655,0.5913,0.6902,0.6369
LSG,0.656,0.5918,0.6902,0.6372
LSG,0.657,0.5914,0.6892,0.6366
LSG,0.658,0.592,0.6892,0.6369
LSG,0.658,0.5925,0.6892,0.6372
LSG,0.659,0.593,0.6892,0.6375
LSG,0.659,0.5936,0.6892,0.6378
LSG,0.659,0.5941,0.6892,0.6381
LSG,0.66,0.5937,0.6881,0.6375
LSG,0.66,0.5934,0.6871,0.6368
LSG,0.661,0.593,0.6861,0.6361
LSG,0.661,0.5926,0.685,0.6355
LSG,0.661,0.5923,0.684,0.6348
LSG,0.661,0.5919,0.683,0.6342
LSG,0.661,0.5924,0.683,0.6345
LSG,0.661,0.593,0.683,0.6348
LSG,0.662,0.5935,0.683,0.6351
LSG,0.662,0.5931,0.6819,0.6344
LSG,0.662,0.5928,0.6809,0.6338
LSG,0.662,0.5924,0.6798,0.6331
LSG,0.662,0.592,0.6788,0.6324
LSG,0.663,0.5926,0.6788,0.6328
LSG,0.663,0.5922,0.6778,0.6321
LSG,0.665,0.5918,0.6767,0.6314
LSG,0.665,0.5924,0.6767,0.6317
LSG,0.665,0.5929,0.6767,0.632
LSG,0.665,0.5934,0.6767,0.6323
LSG,0.666,0.594,0.6767,0.6327
LSG,0.666,0.5945,0.6767,0.633
LSG,0.666,0.5951,0.6767,0.6333
LSG,0.667,0.5956,0.6767,0.6336
LSG,0.667,0.5962,0.6767,0.6339
LSG,0.668,0.5967,0.6767,0.6342
LSG,0.668,0.5963,0.6757,0.6335
LSG,0.669,0.5969,0.6757,0.6338
LSG,0.669,0.5965,0.6746,0.6332
LSG,0.669,0.5971,0.6746,0.6335
LSG,0.669,0.5976,0.6746,0.6338
LSG,0.669,0.5972,0.6736,0.6331
LSG,0.67,0.5978,0.6736,0.6334
LSG,0.67,0.5983,0.6736,0.6337
LSG,0.671,0.598,0.6726,0.6331
LSG,0.671,0.5976,0.6715,0.6324
LSG,0.671,0.5972,0.6705,0.6317
LSG,0.672,0.5978,0.6705,0.632
LSG,0.672,0.5983,0.6705,0.6324
LSG,0.672,0.5989,0.6705,0.6327
LSG,0.674,0.5994,0.6705,0.633
LSG,0.674,0.6,0.6705,0.6333
LSG,0.675,0.6006,0.6705,0.6336
LSG,0.675,0.6002,0.6694,0.6329
LSG,0.675,0.6007,0.6694,0.6332
LSG,0.675,0.6004,0.6684,0.6326
LSG,0.676,0.6009,0.6684,0.6329
LSG,0.676,0.6015,0.6684,0.6332
LSG,0.676,0.6011,0.6674,0.6325
LSG,0.677,0.6007,0.6663,0.6318
LSG,0.677,0.6004,0.6653,0.6312
LSG,0.677,0.6,0.6642,0.6305
LSG,0.677,0.6006,0.6642,0.6308
LSG,0.677,0.6002,0.6632,0.6301
LSG,0.677,0.6008,0.6632,0.6304
LSG,0.678,0.6013,0.6632,0.6307
LSG,0.678,0.6019,0.6632,0.6311
LSG,0.678,0.6025,0.6632,0.6314
LSG,0.679,0.6021,0.6622,0.6307
LSG,0.679,0.6017,0.6611,0.63
LSG,0.679,0.6013,0.6601,0.6293
LSG,0.679,0.6009,0.659,0.6287
LSG,0.68,0.6015,0.659,0.629
LSG,0.68,0.6021,0.659,0.6293
LSG,0.681,0.6017,0.658,0.6286
LSG,0.681,0.6013,0.657,0.6279
LSG,0.682,0.6019,0.657,0.6282
LSG,0.682,0.6025,0.657,0.6285
LSG,0.682,0.6031,0.657,0.6289
LSG,0.683,0.6036,0.657,0.6292
LSG,0.683,0.6042,0.657,0.6295
LSG,0.684,0.6038,0.6559,0.6288
LSG,0.685,0.6044,0.6559,0.6291
LSG,0.685,0.604,0.6549,0.6284
LSG,0.685,0.6046,0.6549,0.6287
LSG,0.685,0.6052,0.6549,0.6291
LSG,0.685,0.6048,0.6538,0.6284
LSG,0.685,0.6054,0.6538,0.6287
LSG,0.686,0.606,0.6538,0.629
LSG,0.686,0.6056,0.6528,0.6283
LSG,0.686,0.6052,0.6518,0.6276
LSG,0.687,0.6048,0.6507,0.6269
LSG,0.687,0.6054,0.6507,0.6273
LSG,0.687,0.605,0.6497,0.6266
LSG,0.687,0.6056,0.6497,0.6269
LSG,0.687,0.6062,0.6497,0.6272
LSG,0.688,0.6058,0.6486,0.6265
LSG,0.688,0.6054,0.6476,0.6258
LSG,0.688,0.606,0.6476,0.6261
LSG,0.688,0.6066,0.6476,0.6264
LSG,0.688,0.6072,0.6476,0.6268
LSG,0.688,0.6068,0.6466,0.6261
LSG,0.689,0.6074,0.6466,0.6264
LSG,0.689,0.607,0.6455,0.6257
LSG,0.689,0.6067,0.6445,0.625
LSG,0.69,0.6063,0.6435,0.6243
LSG,0.69,0.6069,0.6435,0.6246
LSG,0.691,0.6065,0.6424,0.6239
LSG,0.691,0.6061,0.6414,0.6232
LSG,0.691,0.6057,0.6403,0.6225
LSG,0.692,0.6053,0.6393,0.6218
LSG,0.692,0.6049,0.6383,0.6211
LSG,0.694,0.6045,0.6372,0.6204
LSG,0.694,0.6051,0.6372,0.6208
LSG,0.694,0.6057,0.6372,0.6211
LSG,0.694,0.6053,0.6362,0.6204
LSG,0.695,0.605,0.6351,0.6197
LSG,0.695,0.6046,0.6341,0.619
LSG,0.695,0.6042,0.6331,0.6183
LSG,0.696,0.6038,0.632,0.6176
LSG,0.696,0.6034,0.631,0.6169
LSG,0.696,0.604,0.631,0.6172
LSG,0.696,0.6046,0.631,0.6175
LSG,0.697,0.6052,0.631,0.6178
LSG,0.698,0.6058,0.631,0.6181
LSG,0.698,0.6054,0.6299,0.6174
LSG,0.698,0.606,0.6299,0.6177
LSG,0.698,0.6056,0.6289,0.617
LSG,0.699,0.6052,0.6279,0.6163
LSG,0.699,0.6058,0.6279,0.6166
LSG,0.699,0.6064,0.6279,0.617
LSG,0.699,0.607,0.6279,0.6173
LSG,0.699,0.6066,0.6268,0.6166
LSG,0.7,0.6073,0.6268,0.6169
LSG,0.7,0.6069,0.6258,0.6162
LSG,0.701,0.6075,0.6258,0.6165
LSG,0.702,0.6081,0.6258,0.6168
LSG,0.702,0.6077,0.6247,0.6161
LSG,0.703,0.6073,0.6237,0.6154
LSG,0.704,0.6079,0.6237,0.6157
LSG,0.704,0.6075,0.6227,0.615
LSG,0.705,0.6071,0.6216,0.6143
LSG,0.705,0.6067,0.6206,0.6136
LSG,0.705,0.6073,0.6206,0.6139
LSG,0.705,0.6079,0.6206,0.6142
LSG,0.706,0.6075,0.6195,0.6135
LSG,0.706,0.6082,0.6195,0.6138
LSG,0.706,0.6088,0.6195,0.6141
LSG,0.706,0.6094,0.6195,0.6144
LSG,0.707,0.609,0.6185,0.6137
LSG,0.707,0.6086,0.6175,0.613
LSG,0.707,0.6082,0.6164,0.6123
LSG,0.707,0.6078,0.6154,0.6116
LSG,0.707,0.6074,0.6143,0.6109
LSG,0.707,0.607,0.6133,0.6101
LSG,0.708,0.6076,0.6133,0.6105
LSG,0.708,0.6072,0.6123,0.6097
LSG,0.708,0.6078,0.6123,0.61
LSG,0.708,0.6074,0.6112,0.6093
LSG,0.709,0.607,0.6102,0.6086
LSG,0.709,0.6066,0.6091,0.6079
LSG,0.71,0.6073,0.6091,0.6082
LSG,0.711,0.6068,0.6081,0.6075
LSG,0.711,0.6075,0.6081,0.6078
LSG,0.711,0.6071,0.6071,0.6071
LSG,0.712,0.6077,0.6071,0.6074
LSG,0.713,0.6083,0.6071,0.6077
LSG,0.713,0.609,0.6071,0.608
LSG,0.715,0.6086,0.606,0.6073
LSG,0.715,0.6092,0.606,0.6076
LSG,0.715,0.6098,0.606,0.6079
LSG,0.715,0.6094,0.605,0.6072
LSG,0.716,0.6101,0.605,0.6075
LSG,0.716,0.6097,0.604,0.6068
LSG,0.717,0.6092,0.6029,0.6061
LSG,0.717,0.6088,0.6019,0.6053
LSG,0.717,0.6084,0.6008,0.6046
LSG,0.717,0.608,0.5998,0.6039
LSG,0.718,0.6076,0.5988,0.6031
LSG,0.718,0.6082,0.5988,0.6035
LSG,0.718,0.6078,0.5977,0.6027
LSG,0.718,0.6074,0.5967,0.602
LSG,0.718,0.6081,0.5967,0.6023
LSG,0.718,0.6087,0.5967,0.6026
LSG,0.719,0.6093,0.5967,0.6029
LSG,0.719,0.6089,0.5956,0.6022
LSG,0.719,0.6096,0.5956,0.6025
LSG,0.719,0.6092,0.5946,0.6018
LSG,0.719,0.6098,0.5946,0.6021
LSG,0.72,0.6094,0.5936,0.6014
LSG,0.72,0.609,0.5925,0.6006
LSG,0.72,0.6086,0.5915,0.5999
LSG,0.72,0.6081,0.5904,0.5992
LSG,0.72,0.6088,0.5904,0.5995
LSG,0.721,0.6084,0.5894,0.5987
LSG,0.721,0.609,0.5894,0.599
LSG,0.721,0.6097,0.5894,0.5994
LSG,0.721,0.6093,0.5884,0.5986
LSG,0.721,0.6099,0.5884,0.5989
LSG,0.722,0.6095,0.5873,0.5982
LSG,0.722,0.6091,0.5863,0.5975
LSG,0.722,0.6086,0.5852,0.5967
LSG,0.723,0.6082,0.5842,0.596
LSG,0.723,0.6089,0.5842,0.5963
LSG,0.723,0.6095,0.5842,0.5966
LSG,0.724,0.6091,0.5832,0.5959
LSG,0.724,0.6098,0.5832,0.5962
LSG,0.724,0.6094,0.5821,0.5954
LSG,0.724,0.6089,0.5811,0.5947
LSG,0.725,0.6085,0.58,0.5939
LSG,0.725,0.6092,0.58,0.5942
LSG,0.725,0.6087,0.579,0.5935
LSG,0.725,0.6094,0.579,0.5938
LSG,0.725,0.6101,0.579,0.5941
LSG,0.726,0.6096,0.578,0.5934
LSG,0.726,0.6092,0.5769,0.5926
LSG,0.726,0.6088,0.5759,0.5919
LSG,0.726,0.6095,0.5759,0.5922
LSG,0.727,0.609,0.5748,0.5914
LSG,0.727,0.6097,0.5748,0.5918
LSG,0.727,0.6093,0.5738,0.591
LSG,0.727,0.6088,0.5728,0.5903
LSG,0.727,0.6084,0.5717,0.5895
LSG,0.728,0.6091,0.5717,0.5898
LSG,0.728,0.6098,0.5717,0.5901
LSG,0.729,0.6104,0.5717,0.5904
LSG,0.729,0.61,0.5707,0.5897
LSG,0.73,0.6107,0.5707,0.59
LSG,0.73,0.6102,0.5696,0.5892
LSG,0.73,0.6109,0.5696,0.5896
LSG,0.731,0.6116,0.5696,0.5899
LSG,0.731,0.6123,0.5696,0.5902
LSG,0.732,0.613,0.5696,0.5905
LSG,0.733,0.6125,0.5686,0.5898
LSG,0.733,0.6132,0.5686,0.5901
LSG,0.734,0.6128,0.5676,0.5893
LSG,0.734,0.6124,0.5665,0.5886
LSG,0.734,0.613,0.5665,0.5889
LSG,0.735,0.6137,0.5665,0.5892
LSG,0.735,0.6133,0.5655,0.5884
LSG,0.735,0.614,0.5655,0.5887
LSG,0.735,0.6136,0.5644,0.588
LSG,0.736,0.6131,0.5634,0.5872
LSG,0.736,0.6138,0.5634,0.5875
LSG,0.736,0.6134,0.5624,0.5868
LSG,0.736,0.6141,0.5624,0.5871
LSG,0.736,0.6136,0.5613,0.5863
LSG,0.737,0.6143,0.5613,0.5866
LSG,0.737,0.6139,0.5603,0.5859
LSG,0.737,0.6146,0.5603,0.5862
LSG,0.737,0.6153,0.5603,0.5865
LSG,0.737,0.6149,0.5593,0.5857
LSG,0.737,0.6156,0.5593,0.5861
LSG,0.738,0.6151,0.5582,0.5853
LSG,0.738,0.6147,0.5572,0.5845
LSG,0.739,0.6142,0.5561,0.5837
LSG,0.739,0.6149,0.5561,0.5841
LSG,0.74,0.6145,0.5551,0.5833
LSG,0.74,0.6152,0.5551,0.5836
LSG,0.74,0.6159,0.5551,0.5839
LSG,0.741,0.6155,0.5541,0.5832
LSG,0.741,0.615,0.553,0.5824
LSG,0.742,0.6146,0.552,0.5816
LSG,0.742,0.6153,0.552,0.5819
LSG,0.742,0.6148,0.5509,0.5811
LSG,0.742,0.6144,0.5499,0.5804
LSG,0.742,0.614,0.5489,0.5796
LSG,0.742,0.6135,0.5478,0.5788
LSG,0.742,0.6142,0.5478,0.5791
LSG,0.743,0.6138,0.5468,0.5783
LSG,0.743,0.6133,0.5457,0.5776
LSG,0.743,0.614,0.5457,0.5779
LSG,0.743,0.6136,0.5447,0.5771
LSG,0.743,0.6131,0.5437,0.5763
LSG,0.743,0.6127,0.5426,0.5755
LSG,0.743,0.6122,0.5416,0.5747
LSG,0.744,0.6129,0.5416,0.5751
LSG,0.744,0.6125,0.5405,0.5743
LSG,0.744,0.612,0.5395,0.5735
LSG,0.745,0.6116,0.5385,0.5727
LSG,0.745,0.6111,0.5374,0.5719
LSG,0.745,0.6107,0.5364,0.5711
LSG,0.745,0.6102,0.5353,0.5703
LSG,0.745,0.6109,0.5353,0.5706
LSG,0.745,0.6116,0.5353,0.571
LSG,0.745,0.6112,0.5343,0.5702
LSG,0.745,0.6119,0.5343,0.5705
LSG,0.746,0.6114,0.5333,0.5697
LSG,0.746,0.6122,0.5333,0.57
LSG,0.746,0.6117,0.5322,0.5692
LSG,0.747,0.6124,0.5322,0.5695
LSG,0.747,0.6132,0.5322,0.5698
LSG,0.747,0.6127,0.5312,0.569
LSG,0.748,0.6134,0.5312,0.5694
LSG,0.748,0.613,0.5301,0.5686
LSG,0.748,0.6125,0.5291,0.5678
LSG,0.748,0.6133,0.5291,0.5681
LSG,0.749,0.6128,0.5281,0.5673
LSG,0.749,0.6135,0.5281,0.5676
LSG,0.749,0.6143,0.5281,0.5679
LSG,0.749,0.6138,0.527,0.5671
LSG,0.75,0.6145,0.527,0.5674
LSG,0.75,0.6153,0.527,0.5677
LSG,0.75,0.6148,0.526,0.5669
LSG,0.75,0.6144,0.5249,0.5661
LSG,0.75,0.6151,0.5249,0.5665
LSG,0.751,0.6159,0.5249,0.5668
LSG,0.751,0.6154,0.5239,0.566
LSG,0.751,0.6161,0.5239,0.5663
LSG,0.751,0.6169,0.5239,0.5666
LSG,0.752,0.6176,0.5239,0.5669
LSG,0.752,0.6184,0.5239,0.5672
LSG,0.752,0.6192,0.5239,0.5676
LSG,0.752,0.6199,0.5239,0.5679
LSG,0.752,0.6195,0.5229,0.5671
LSG,0.753,0.6202,0.5229,0.5674
LSG,0.753,0.621,0.5229,0.5677
LSG,0.753,0.6218,0.5229,0.568
LSG,0.753,0.6213,0.5218,0.5672
LSG,0.754,0.6208,0.5208,0.5664
LSG,0.754,0.6203,0.5198,0.5656
LSG,0.754,0.6211,0.5198,0.5659
LSG,0.755,0.6219,0.5198,0.5663
LSG,0.755,0.6214,0.5187,0.5654
LSG,0.755,0.6209,0.5177,0.5646
LSG,0.755,0.6205,0.5166,0.5638
LSG,0.756,0.6212,0.5166,0.5641
LSG,0.756,0.622,0.5166,0.5645
LSG,0.756,0.6228,0.5166,0.5648
LSG,0.757,0.6223,0.5156,0.564
LSG,0.757,0.6219,0.5146,0.5631
LSG,0.757,0.6214,0.5135,0.5623
LSG,0.757,0.6222,0.5135,0.5626
LSG,0.757,0.6217,0.5125,0.5618
LSG,0.757,0.6212,0.5114,0.561
LSG,0.757,0.622,0.5114,0.5613
LSG,0.757,0.6215,0.5104,0.5605
LSG,0.757,0.621,0.5094,0.5597
LSG,0.758,0.6218,0.5094,0.56
LSG,0.758,0.6226,0.5094,0.5603
LSG,0.759,0.6221,0.5083,0.5595
LSG,0.759,0.6229,0.5083,0.5598
LSG,0.759,0.6237,0.5083,0.5601
LSG,0.759,0.6232,0.5073,0.5593
LSG,0.759,0.624,0.5073,0.5596
LSG,0.759,0.6236,0.5062,0.5588
LSG,0.76,0.6231,0.5052,0.558
LSG,0.76,0.6226,0.5042,0.5572
LSG,0.76,0.6221,0.5031,0.5563
LSG,0.76,0.6229,0.5031,0.5566
LSG,0.76,0.6237,0.5031,0.557
LSG,0.76,0.6245,0.5031,0.5573
LSG,0.761,0.6253,0.5031,0.5576
LSG,0.761,0.6261,0.5031,0.5579
LSG,0.761,0.6256,0.5021,0.5571
LSG,0.761,0.6252,0.501,0.5563
LSG,0.761,0.6247,0.5,0.5554
LSG,0.762,0.6242,0.499,0.5546
LSG,0.762,0.6237,0.4979,0.5538
LSG,0.762,0.6232,0.4969,0.5529
LSG,0.763,0.624,0.4969,0.5532
LSG,0.763,0.6235,0.4958,0.5524
LSG,0.763,0.623,0.4948,0.5516
LSG,0.764,0.6225,0.4938,0.5507
LSG,0.764,0.6234,0.4938,0.551
LSG,0.764,0.6242,0.4938,0.5514
LSG,0.764,0.6237,0.4927,0.5505
LSG,0.764,0.6232,0.4917,0.5497
LSG,0.765,0.624,0.4917,0.55
LSG,0.765,0.6248,0.4917,0.5503
LSG,0.766,0.6257,0.4917,0.5506
LSG,0.766,0.6252,0.4906,0.5498
LSG,0.766,0.626,0.4906,0.5501
LSG,0.767,0.6268,0.4906,0.5504
LSG,0.767,0.6277,0.4906,0.5508
LSG,0.767,0.6272,0.4896,0.5499
LSG,0.768,0.6267,0.4886,0.5491
LSG,0.768,0.6262,0.4875,0.5482
LSG,0.768,0.6257,0.4865,0.5474
LSG,0.768,0.6265,0.4865,0.5477
LSG,0.769,0.6273,0.4865,0.548
LSG,0.769,0.6268,0.4854,0.5472
LSG,0.769,0.6277,0.4854,0.5475
LSG,0.769,0.6272,0.4844,0.5466
LSG,0.77,0.6267,0.4834,0.5458
LSG,0.771,0.6262,0.4823,0.5449
LSG,0.771,0.6257,0.4813,0.5441
LSG,0.771,0.6265,0.4813,0.5444
LSG,0.771,0.626,0.4802,0.5435
LSG,0.772,0.6255,0.4792,0.5427
LSG,0.772,0.625,0.4782,0.5418
LSG,0.772,0.6259,0.4782,0.5421
LSG,0.772,0.6253,0.4771,0.5413
LSG,0.772,0.6248,0.4761,0.5404
LSG,0.772,0.6243,0.4751,0.5396
LSG,0.773,0.6252,0.4751,0.5399
LSG,0.773,0.626,0.4751,0.5402
LSG,0.773,0.6269,0.4751,0.5405
LSG,0.773,0.6264,0.474,0.5396
LSG,0.773,0.6272,0.474,0.54
LSG,0.773,0.6267,0.473,0.5391
LSG,0.774,0.6276,0.473,0.5394
LSG,0.775,0.6271,0.4719,0.5386
LSG,0.775,0.6266,0.4709,0.5377
LSG,0.775,0.6274,0.4709,0.538
LSG,0.775,0.6269,0.4699,0.5371
LSG,0.775,0.6278,0.4699,0.5375
LSG,0.775,0.6273,0.4688,0.5366
LSG,0.775,0.6267,0.4678,0.5357
LSG,0.775,0.6262,0.4667,0.5348
LSG,0.775,0.6257,0.4657,0.534
LSG,0.776,0.6266,0.4657,0.5343
LSG,0.776,0.6261,0.4647,0.5334
LSG,0.776,0.6255,0.4636,0.5325
LSG,0.776,0.6264,0.4636,0.5329
LSG,0.776,0.6259,0.4626,0.532
LSG,0.776,0.6254,0.4615,0.5311
LSG,0.776,0.6248,0.4605,0.5302
LSG,0.777,0.6243,0.4595,0.5293
LSG,0.777,0.6238,0.4584,0.5285
LSG,0.777,0.6232,0.4574,0.5276
LSG,0.777,0.6227,0.4563,0.5267
LSG,0.777,0.6222,0.4553,0.5258
LSG,0.778,0.6216,0.4543,0.5249
LSG,0.778,0.6225,0.4543,0.5252
LSG,0.778,0.622,0.4532,0.5244
LSG,0.778,0.6214,0.4522,0.5235
LSG,0.779,0.6209,0.4511,0.5226
LSG,0.779,0.6203,0.4501,0.5217
LSG,0.779,0.6198,0.4491,0.5208
LSG,0.779,0.6193,0.448,0.5199
LSG,0.779,0.6187,0.447,0.519
LSG,0.779,0.6182,0.4459,0.5181
LSG,0.779,0.6176,0.4449,0.5172
LSG,0.779,0.6171,0.4439,0.5163
LSG,0.779,0.6165,0.4428,0.5154
LSG,0.78,0.6159,0.4418,0.5145
LSG,0.78,0.6168,0.4418,0.5148
LSG,0.78,0.6177,0.4418,0.5152
LSG,0.78,0.6186,0.4418,0.5155
LSG,0.78,0.6181,0.4407,0.5146
LSG,0.781,0.6175,0.4397,0.5137
LSG,0.782,0.617,0.4387,0.5128
LSG,0.782,0.6179,0.4387,0.5131
LSG,0.782,0.6188,0.4387,0.5134
LSG,0.782,0.6197,0.4387,0.5137
LSG,0.783,0.6206,0.4387,0.514
LSG,0.783,0.62,0.4376,0.5131
LSG,0.784,0.6195,0.4366,0.5122
LSG,0.784,0.6189,0.4356,0.5113
LSG,0.784,0.6198,0.4356,0.5116
LSG,0.784,0.6193,0.4345,0.5107
LSG,0.784,0.6187,0.4335,0.5098
LSG,0.784,0.6181,0.4324,0.5089
LSG,0.785,0.6176,0.4314,0.508
LSG,0.785,0.6185,0.4314,0.5083
LSG,0.785,0.6179,0.4304,0.5074
LSG,0.785,0.6173,0.4293,0.5064
LSG,0.786,0.6168,0.4283,0.5055
LSG,0.786,0.6162,0.4272,0.5046
LSG,0.786,0.6171,0.4272,0.5049
LSG,0.786,0.6165,0.4262,0.504
LSG,0.786,0.6175,0.4262,0.5043
LSG,0.786,0.6169,0.4252,0.5034
LSG,0.787,0.6163,0.4241,0.5025
LSG,0.787,0.6157,0.4231,0.5015
LSG,0.787,0.6152,0.422,0.5006
LSG,0.787,0.6146,0.421,0.4997
LSG,0.788,0.614,0.42,0.4988
LSG,0.788,0.6134,0.4189,0.4978
LSG,0.788,0.6128,0.4179,0.4969
LSG,0.788,0.6137,0.4179,0.4972
LSG,0.788,0.6131,0.4168,0.4963
LSG,0.788,0.6126,0.4158,0.4954
LSG,0.788,0.612,0.4148,0.4944
LSG,0.788,0.6129,0.4148,0.4947
LSG,0.789,0.6123,0.4137,0.4938
LSG,0.789,0.6117,0.4127,0.4929
LSG,0.79,0.6111,0.4116,0.4919
LSG,0.79,0.6105,0.4106,0.491
LSG,0.79,0.6099,0.4096,0.49
LSG,0.79,0.6093,0.4085,0.4891
LSG,0.791,0.6102,0.4085,0.4894
LSG,0.791,0.6096,0.4075,0.4885
LSG,0.791,0.6106,0.4075,0.4888
LSG,0.791,0.61,0.4064,0.4878
LSG,0.791,0.6094,0.4054,0.4869
LSG,0.791,0.6088,0.4044,0.4859
LSG,0.791,0.6082,0.4033,0.485
LSG,0.791,0.6075,0.4023,0.4841
LSG,0.792,0.6085,0.4023,0.4844
LSG,0.792,0.6079,0.4012,0.4834
LSG,0.793,0.6088,0.4012,0.4837
LSG,0.793,0.6082,0.4002,0.4828
LSG,0.793,0.6076,0.3992,0.4818
LSG,0.793,0.6086,0.3992,0.4821
LSG,0.793,0.6095,0.3992,0.4824
LSG,0.793,0.6089,0.3981,0.4815
LSG,0.793,0.6083,0.3971,0.4805
LSG,0.793,0.6093,0.3971,0.4808
LSG,0.793,0.6086,0.396,0.4798
LSG,0.794,0.6096,0.396,0.4802
LSG,0.794,0.609,0.395,0.4792
LSG,0.794,0.6083,0.394,0.4782
LSG,0.794,0.6077,0.3929,0.4773
LSG,0.795,0.6087,0.3929,0.4776
LSG,0.795,0.6097,0.3929,0.4779
LSG,0.795,0.6107,0.3929,0.4782
LSG,0.795,0.61,0.3919,0.4772
LSG,0.795,0.6094,0.3909,0.4763
LSG,0.796,0.6088,0.3898,0.4753
LSG,0.796,0.6081,0.3888,0.4743
LSG,0.796,0.6075,0.3877,0.4734
LSG,0.796,0.6085,0.3877,0.4737
LSG,0.796,0.6078,0.3867,0.4727
LSG,0.796,0.6072,0.3857,0.4717
LSG,0.796,0.6082,0.3857,0.472
LSG,0.796,0.6076,0.3846,0.471
LSG,0.796,0.6086,0.3846,0.4713
LSG,0.797,0.6079,0.3836,0.4704
LSG,0.797,0.6089,0.3836,0.4707
LSG,0.797,0.6099,0.3836,0.471
LSG,0.798,0.6109,0.3836,0.4713
LSG,0.798,0.6119,0.3836,0.4716
LSG,0.798,0.6113,0.3825,0.4706
LSG,0.798,0.6106,0.3815,0.4696
LSG,0.798,0.61,0.3805,0.4686
LSG,0.798,0.611,0.3805,0.4689
LSG,0.799,0.6104,0.3794,0.4679
LSG,0.799,0.6097,0.3784,0.467
LSG,0.799,0.6091,0.3773,0.466
LSG,0.799,0.6101,0.3773,0.4663
LSG,0.799,0.6094,0.3763,0.4653
LSG,0.799,0.6105,0.3763,0.4656
LSG,0.799,0.6098,0.3753,0.4646
LSG,0.8,0.6108,0.3753,0.4649
LSG,0.8,0.6102,0.3742,0.4639
LSG,0.8,0.6112,0.3742,0.4642
LSG,0.801,0.6122,0.3742,0.4645
LSG,0.801,0.6116,0.3732,0.4635
LSG,0.801,0.6109,0.3721,0.4625
LSG,0.801,0.612,0.3721,0.4628
LSG,0.801,0.6113,0.3711,0.4618
LSG,0.802,0.6106,0.3701,0.4608
LSG,0.802,0.6117,0.3701,0.4611
LSG,0.802,0.6127,0.3701,0.4614
LSG,0.803,0.6121,0.369,0.4604
LSG,0.803,0.6131,0.369,0.4607
LSG,0.803,0.6125,0.368,0.4597
LSG,0.803,0.6118,0.3669,0.4587
LSG,0.804,0.6128,0.3669,0.459
LSG,0.804,0.6139,0.3669,0.4593
LSG,0.805,0.615,0.3669,0.4596
LSG,0.805,0.6161,0.3669,0.4599
LSG,0.805,0.6171,0.3669,0.4602
LSG,0.805,0.6182,0.3669,0.4605
LSG,0.805,0.6175,0.3659,0.4595
