model,threshold,precision,recall,f1
LSG,0.308,0.541,0.9335,0.685
LSG,0.309,0.5407,0.9324,0.6845
LSG,0.31,0.5404,0.9314,0.684
LSG,0.311,0.5407,0.9314,0.6842
LSG,0.311,0.5411,0.9314,0.6845
LSG,0.312,0.5408,0.9304,0.684
LSG,0.315,0.5405,0.9293,0.6835
LSG,0.316,0.5402,0.9283,0.683
LSG,0.317,0.5406,0.9283,0.6832
LSG,0.318,0.5403,0.9272,0.6827
LSG,0.319,0.5406,0.9272,0.683
LSG,0.32,0.5409,0.9272,0.6833
LSG,0.321,0.5407,0.9262,0.6828
LSG,0.323,0.5404,0.9252,0.6823
LSG,0.323,0.5407,0.9252,0.6825
LSG,0.324,0.5404,0.9241,0.682
LSG,0.326,0.5408,0.9241,0.6823
LSG,0.329,0.5405,0.9231,0.6818
LSG,0.329,0.5402,0.922,0.6813
LSG,0.329,0.5399,0.921,0.6808
LSG,0.332,0.5402,0.921,0.681
LSG,0.332,0.5406,0.921,0.6813
LSG,0.333,0.5409,0.921,0.6815
LSG,0.333,0.5412,0.921,0.6818
LSG,0.333,0.541,0.92,0.6813
LSG,0.334,0.5413,0.92,0.6816
LSG,0.335,0.541,0.9189,0.681
LSG,0.338,0.5407,0.9179,0.6805
LSG,0.339,0.5411,0.9179,0.6808
LSG,0.339,0.5414,0.9179,0.6811
LSG,0.339,0.5411,0.9168,0.6806
LSG,0.34,0.5408,0.9158,0.68
LSG,0.341,0.5405,0.9148,0.6795
LSG,0.342,0.5409,0.9148,0.6798
LSG,0.343,0.5406,0.9137,0.6793
LSG,0.343,0.5409,0.9137,0.6796
LSG,0.345,0.5413,0.9137,0.6798
LSG,0.346,0.5416,0.9137,0.6801
LSG,0.346,0.5419,0.9137,0.6803
LSG,0.347,0.5416,0.9127,0.6798
LSG,0.348,0.5414,0.9116,0.6793
LSG,0.348,0.5411,0.9106,0.6788
LSG,0.348,0.5408,0.9096,0.6783
LSG,0.349,0.5405,0.9085,0.6778
