pc1,pc2,label
0.0645,0.0486,STORE
-0.1469,-0.1678,STORE
0.1323,0.0154,STORE
0.2904,0.1725,STORE
-0.0661,0.1455,STORE
0.1283,0.0407,STORE
-0.0022,-0.1422,STORE
-0.0723,0.0768,STORE
0.1161,0.2592,STORE
0.0776,-0.0198,STORE
-0.2546,0.2003,STORE
0.1277,0.0104,STORE
-0.14,-0.155,STORE
-0.1115,-0.0613,STORE
0.1586,0.0515,STORE
0.326,0.2528,STORE
-0.3232,-0.1483,STORE
0.0316,-0.2843,STORE
0.0256,-0.228,STORE
-0.2412,-0.0678,STORE
-0.1348,0.0866,STORE
0.0228,0.1807,STORE
-0.3254,-0.0594,STORE
0.3439,0.267,STORE
0.15,0.2783,STORE
0.282,0.3059,STORE
-0.0687,-0.0151,STORE
-0.0667,-0.1255,STORE
-0.1718,-0.0271,STORE
-0.0633,0.0799,STORE
-0.187,-0.1771,STORE
-0.0615,0.0615,STORE
0.1543,0.0552,STORE
-0.1183,0.0893,STORE
-0.1748,-0.1359,STORE
-0.2111,0.0986,STORE
-0.0571,0.1219,STORE
0.0668,0.1884,STORE
-0.0773,0.025,STORE
0.2039,-0.4402,STORE
-0.1515,-0.2088,STORE
-0.0087,-0.2144,STORE
0.2086,-0.0727,STORE
-0.1868,0.011,STORE
-0.228,-0.1282,STORE
-0.2149,-0.2437,STORE
-0.1575,-0.1956,STORE
0.0085,0.1035,STORE
0.0456,0.112,STORE
-0.2055,0.0381,STORE
-0.0279,-0.1108,STORE
0.1188,-0.1586,STORE
0.2879,0.3236,STORE
0.3494,0.1641,STORE
-0.1936,0.0255,STORE
0.1628,0.2157,STORE
-0.0053,-0.0464,STORE
-0.0841,0.1524,STORE
-0.0437,-0.1446,STORE
0.2264,0.2017,STORE
0.1902,0.1889,STORE
0.3463,0.1835,STORE
-0.0501,-0.0031,STORE
-0.0577,0.0771,STORE
0.1318,-0.0385,STORE
-0.0743,-0.0389,STORE
0.0637,-0.0421,STORE
-0.0712,-0.0355,STORE
0.1221,0.1233,STORE
0.0492,0.1836,STORE
-0.3428,-0.0368,STORE
-0.3515,-0.1159,STORE
-0.1405,0.0638,STORE
0.0471,0.0521,STORE
0.0858,-0.0526,STORE
0.3016,0.0417,STORE
-0.0845,-0.0951,STORE
-0.341,-0.0772,STORE
0.0194,0.1991,STORE
0.155,0.1782,STORE
-0.1632,-0.0068,STORE
-0.2306,-0.0606,STORE
-0.257,0.0732,STORE
0.1712,-0.1565,STORE
-0.1661,-0.0167,STORE
-0.102,-0.0732,STORE
0.1571,-0.0281,STORE
-0.0306,-0.3035,STORE
-0.0811,0.1364,STORE
-0.0355,-0.0996,STORE
0.1093,0.0098,STORE
0.2305,0.339,STORE
0.125,-0.2215,STORE
-0.0454,-0.0434,STORE
0.047,0.0253,STORE
0.28,0.2909,STORE
0.1539,0.2155,STORE
-0.0249,0.0605,STORE
0.0059,-0.0907,STORE
0.3133,0.1272,STORE
-0.0549,-0.0205,STORE
-0.0647,0.1897,STORE
-0.059,-0.2002,STORE
0.1541,0.1675,STORE
-0.0972,0.1408,STORE
0.0047,0.0088,STORE
0.033,-0.0316,STORE
-0.16,-0.1074,STORE
0.0171,0.0299,STORE
0.1872,-0.0693,STORE
0.0933,-0.0293,STORE
0.19,0.1916,STORE
-0.1274,0.0457,STORE
0.0495,0.159,IGNORE
0.1541,0.1058,IGNORE
-0.3709,0.011,IGNORE
0.1231,-0.1274,IGNORE
-0.1008,0.3416,IGNORE
-0.1353,-0.008,IGNORE
0.1327,-0.085,IGNORE
0.1496,0.0457,IGNORE
0.1335,-0.1635,IGNORE
0.0496,0.1219,IGNORE
-0.1099,-0.3791,IGNORE
-0.0624,0.0235,IGNORE
-0.3471,-0.17,IGNORE
0.2338,-0.1443,IGNORE
-0.1694,0.012,IGNORE
-0.3553,-0.0224,IGNORE
-0.1462,-0.1439,IGNORE
-0.1948,0.0282,IGNORE
0.1356,0.1688,IGNORE
-0.1422,-0.0067,IGNORE
-0.0948,0.0865,IGNORE
0.0846,-0.0813,IGNORE
-0.195,-0.0326,IGNORE
-0.1035,0.0801,IGNORE
-0.2489,-0.0494,IGNORE
-0.1715,-0.0776,IGNORE
-0.1239,-0.1675,IGNORE
-0.0927,0.1446,IGNORE
-0.1014,-0.0307,IGNORE
0.0813,0.409,IGNORE
